pmid,articlepubdate,articletype,pmidsrcs,meshheadings,meshsubheadings,meshcodes,cids,sids,articletitle,articleabstract,articlejourname,articleauth,articleaffil,citation,dois,annotation
1418585,19920601,article,mesh,"Animals,Drugs, Chinese Herbal,Female,Guinea Pigs,Hypocreales,Hypoxia,Inflammation,Lepidoptera,Male,Mice,Muscle Relaxation,Muscle, Smooth,Sleep,Trachea","chemistry,drug effects,drug therapy,pharmacology,therapeutic use,toxicity","D000860 Q000188 NN,D004365 Q000494 NY,D004365 Q000627 NN,D004365 Q000633 NN,D006999 Q000737 NY,D007249 Q000188 NN,D007915 Q000737 NY,D009126 Q000187 NN,D009130 Q000187 NN,D012890 Q000187 NN",NULL,NULL,[Pharmacological study on Cordyceps sinensis (Berk.) Sacc. and ze-e Cordyceps],"The Ze-e Cordyceps is similar to the Cordyceps sinensis in such pharmacological actions as calming, enduring hypoxia, dilating trachea, male sex hormone action, antiphlogistic and toxicity, etc. It is thus suggested that the Ze-e Cordyceps may be used place of the Cordyceps sinensis in clinical practice.",Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,"J Lei, J Chen, C Guo","Guangdong Institute of Materia Medica, Guangzhou.","1992 Jun; 17(6):364-6, 384",NULL,NULL
10814966,20000601,article,mesh,"Cell Division,Cells, Cultured,Claviceps,DNA,Dose-Response Relationship, Drug,Glomerular Mesangium,Glomerulosclerosis, Focal Segmental,Humans,Hypertrophy,Lipoproteins, LDL,RNA, Messenger","cytology,drug effects,metabolism,microbiology","D002455 Q000187 NN,D002967 Q000378 NN,D004247 Q000378 NN,D005920 Q000166 NY,D005923 Q000382 NN,D008077 Q000378 NY,D012333 Q000378 NN",44135672,NULL,Inhibitory effect of Cordyceps sinensis and Cordyceps militaris on human glomerular mesangial cell proliferation induced by native LDL,"Native LDL, in low concentrations, promotes proliferation of cultured human glomerular mesangial cells. LDL stimulated [(3)H]-thymidine incorporation into DNA of human glomerular mesangial cells. Increased concentrations of LDL led to increased [(3)H]-thymidine incorporation. When LDL concentrations were 5, 10 and 50 microg ml(-1), [(3)H]-thymidine incorporation was 919.5+/-216, 1106+/-132, and 1200+/-210, respectively. When Cordyceps sinensis 100, 200, 300, 400 microg ml(-1) plus LDL 10 microg ml(-1) were ",Cell biochemistry and function,"W Zhao-Long, W Xiao-Xia, C Wei-Ying","Department of Internal Medicine, Zhong Shan Hospital, Shanghai Medical University, P.R. China.",2000 Jun; 18(2):93-7,10.1002/(sici)1099-0844(200006)18:2<93::aid-cbf854>3.0.co;2-#,NULL
29435887,20060701,article,NULL,NULL,NULL,NULL,NULL,NULL,Distinction of water-soluble constituents between some Paecilomyces (= Isaria) and Cordyceps fungi by capillary electrophoresis,"In order to reveal the differences between Cordyceps, Paecilomyces (= Isaria) and Nomuraea, we collected seven entomogenous fungi grown in natural field and analyzed the profiles of water-soluble constituents derived from some different sources of Cordyceps, Paecilomyces and Nomuraea by determination using capillary electrophoresis. C. sinensis and C. kyushuensis showed similar peak clusters of protein migrated at 5-7, 8-9, and 12-20 min. The peak clusters obtained from N. atypicola was similar to those of ",Journal of natural medicines,"Fumihide Takano, Satomi Ihara, Kyoko Kobayashi, Tomoko Ogiwara, Nobuo Yahagi, Remiko Yahagi, Shinji Fushiya, Tomihisa Ohta, Fumihiko Yoshizaki","Kanazawa University, Kakuma-machi, Kanazawa , 920-1192, Japan. Tohoku Pharmaceutical University, 4-1 Komatsushima 4-chome, Aoba-ku, Sendai 981-8558, Japan. Nihon Pharmaceutical University, Komuro 10281, Ina-machi, Kita-Adachi-gun, Saitama 362-0806, Japan. Tohoku Pharmaceutical University, 4-1 Komatsushima 4-chome, Aoba-ku, Sendai 981-8558, Japan. yosizaki@tohoku-pharm.ac.jp.",2006 Jul; 60(3):243-247,10.1007/s11418-006-0034-6,NULL
32964487,20200922,article,NULL,NULL,NULL,NULL,NULL,NULL,"Purification, characterization, antioxidant, and antitumor activity of polysaccharides isolated from silkworm cordyceps","Two new water-soluble polysaccharide fractions (SCP II-1 and SCP II-2) were obtained from silkworm cordycepsusing DEAE Sepharose FF and Superose 6 columns chromatography. The characterization of their basic structure was studied by high performance liquid chromatography, high performance ion chromatography, infrared spectroscopy and atomic force microscope (AFM). The results showed that the molecular weight of SCP II-1 and SCP II-2 were 35.2 kDa and 23.4 kDa, and they were mainly composed of ribose, mannose",Journal of food biochemistry,"Kaiyun Shi, Guang Yang, Liang He, Bo Yang, Qin Li, Sha Yi","School of Medical Instrument and Food Engineering, University of Shanghai for Science and Technology, Shanghai, China. The Key Laboratory of Biochemical Utilization of Zhejiang Province, Department of Forest Foods, Zhejiang Academy of Forestry, Hangzhou, China.",2020 Sep; ?(?):e13482,10.1111/jfbc.13482,NULL
9351269,19971001,article,mesh,"Animals,Ascomycota,Base Sequence,DNA Primers,DNA, Fungal,DNA, Ribosomal,Hypocreales,Insecta,Medicine, Chinese Traditional,Molecular Sequence Data,Phylogeny,RNA, Ribosomal, 18S,Sequence Homology, Nucleic Acid,Species Specificity","classification,genetics,microbiology,pathogenicity","D001203 Q000145 NN,D001203 Q000235 NN,D004271 Q000235 NY,D004275 Q000235 NY,D006999 Q000145 NN,D006999 Q000235 NY,D006999 Q000472 NN,D007313 Q000382 NN,D012337 Q000235 NN,D017931 Q000235 NN",NULL,NULL,The determination of the partial 18 S ribosomal DNA sequences of Cordyceps species,"Cordyceps species, which are used in Chinese traditional medicines, are fungal parasites of insects. In this study the partial nucleotide sequences of 18 S ribosomal DNA from four Cordyceps species were determined and compared with the sequences of published ascomycetes. The sequence data support the concept that Cordyceps species belong to the pyrenomycetes. Based on sequence data the phylogenetic tree was constructed using the neighbor-joining (NJ) method. Diversity in the phylogenetic tree was found for ",Letters in applied microbiology,"Y Ito, T Hirano","Molecular Biology Department, National Institute of Bioscience and Human Technology, Ibaraki, Japan.",1997 Oct; 25(4):239-42,10.1046/j.1472-765x.1997.00203.x,NULL
28303227,20170301,article,NULL,NULL,NULL,NULL,NULL,NULL,Analysis of Cordyceps by multi-column liquid chromatography,"Cordyceps is a famous traditional Chinese medicine (TCM) that has been used in China for hundreds of years. In the present study a multi-column liquid chromatography (MC-LC) system was developed for the qualitative analysis of macromolecules and micromolecules in Cordyceps. The MC-LC system includes a size exclusion pre-column, a size exclusion column (SEC) and a reversed phase column (RP) which were controlled by column-switching valves. The sample was separated by the size exclusion pre-column into two fr",Acta pharmaceutica Sinica. B,"Zhengming Qian, Shaoping Li","Institute of Chinese Medical Sciences, University of Macau, Macao, China; Key Laboratory of State Administration of Traditional Chinese Medicine, Sunshine Lake Pharma Co., Ltd., Dongguan 523850, China. Institute of Chinese Medical Sciences, University of Macau, Macao, China.",2017 Mar; 7(2):202-207,10.1016/j.apsb.2016.10.002,NULL
29736181,20180101,article,NULL,NULL,NULL,NULL,NULL,NULL,Improvement of Learning and Memory Induced by Cordyceps Polypeptide Treatment and the Underlying Mechanism,"Our previous research revealed that Cordyceps militaris can improve the learning and memory, and although the main active ingredient should be its polypeptide complexes, the underlying mechanism of its activity remains poorly understood. In this study, we explored the mechanisms by which Cordyceps militaris improves learning and memory in a mouse model. Mice were given scopolamine hydrobromide intraperitoneally to establish a mouse model of learning and memory impairment. The effects of Cordyceps polypeptid",Evidence-based complementary and alternative medicine : eCAM,"Guangxin Yuan, Liping An, Yunpeng Sun, Guangyu Xu, Peige Du","College of Pharmacy, Beihua University, Jilin 132013, China.",2018; 2018(?):9419264,10.1155/2018/9419264,NULL
32405400,20200501,article,NULL,NULL,NULL,NULL,NULL,NULL,Enzymatic hydrolysis pretreatment for enhancing the protein solubility and physicochemical quality of Cordyceps militaris chicken soup,"Chicken soup is one of the most popular Chinese-style soups due to its high nutritional value and special flavor. However, the nutrients, mainly soluble protein, in the soup are relatively low. The aim of the present work was to enhance the protein solubility and other physicochemical properties of Cordyceps militaris chicken soup by enzymatic hydrolysis pretreatment. Results indicated that the soluble protein dissolution rate and flavor nucleotides (I+G) of Cordyceps militaris chicken soup had 1.6-fold and",Food science & nutrition,"Hao Dong, Jialing Liu, Xiaofang Zeng, Weidong Bai, Limei Yu",College of Light Industry and Food Sciences Zhongkai University of Agriculture and Engineering Guangzhou China.,2020 May; 8(5):2436-2444,10.1002/fsn3.1533,NULL
12189826,20010901,article,mesh,"Animals,Ants,Colombia,Ecosystem,Hypocreales,Population Density,Residence Characteristics,Seasons,Trees","classification,isolation & purification,microbiology","D001000 Q000145 NN,D001000 Q000382 NY,D006999 Q000302 NN,D014197 Q000145 NY",NULL,NULL,[Spatial distribution of Cordyceps spp. (Ascomycotina: Clavicipitaceae) and its impact on the ants in forests of Amazonian Colombian foothill],"Entomopathogenic fungi of the genus Cordyceps were sampled in the foothills of the Colombian Amazon region (450-600 msnm altitude. January and May, 1998, i.e. dry and wet seasons, respectively). Healthy and Cordyceps-parasitized ants from a nearly pristine, a naturally disturbed and a human-disturbed forests were collected on 100 quadrants (1 m2) per forest. Litter, shrubs and trunks were explored as substrates, and samples were gathered in vertical strata from 50 cm to 2 m high. Azteca was the predominant ",Revista de biologia tropical,"T Sanjuán, L Guillermo Henao, G Amat","Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Apartado Aéreo 7495, Bogotá, Colombia. tsanjuan@netscape.net",2001 Sep; 49(3-4):945-55,NULL,NULL
25960753,20150101,review,NULL,NULL,NULL,NULL,NULL,NULL,The Chemical Constituents and Pharmacological Actions of Cordyceps sinensis,"Cordyceps sinensis, also called DongChongXiaCao (winter worm, summer grass) in Chinese, is becoming increasingly popular and important in the public and scientific communities. This study summarizes the chemical constituents and their corresponding pharmacological actions of Cordyceps sinensis. Many bioactive components of Cordyceps sinensis have been extracted including nucleoside, polysaccharide, sterol, protein, amino acid, and polypeptide. In addition, these constituents' corresponding pharmacological a",Evidence-based complementary and alternative medicine : eCAM,"Yi Liu, Jihui Wang, Wei Wang, Hanyue Zhang, Xuelan Zhang, Chunchao Han","School of Pharmacy, Shandong University of Traditional Chinese Medicine, Jinan 250355, China. Teaching Experiment Center, Shandong University of Traditional Chinese Medicine, Jinan 250355, China. College of Acumox and Tuina, Shandong University of Traditional Chinese Medicine, Jinan 250355, China.",2015; 2015(?):575063,10.1155/2015/575063,NULL
28050193,20160101,article,NULL,NULL,NULL,NULL,NULL,NULL,Herbal Medicine Cordyceps sinensis Improves Health-Related Quality of Life in Moderate-to-Severe Asthma,"Moderate-to-severe asthma has a substantial impact on the health-related quality of life (HR-QOL) of the patients. Cordyceps sinensis is a traditional Chinese medicine that is evaluated clinically for the treatment of many diseases, such as chronic allograft nephropathy, diabetic kidney disease, and lung fibrosis. In order to investigate the effects of Cordyceps sinensis on patients with moderate-to-severe persistent asthma, 120 subjects were randomized to receive Corbin capsule containing Cordyceps sinensi",Evidence-based complementary and alternative medicine : eCAM,"Ningqun Wang, Jie Li, Xiaobo Huang, Wenqiang Chen, Yujing Chen","Department of Traditional Chinese Medicine, Xuanwu Hospital, Capital Medical University, 45 Changchun Street, Beijing 100053, China. Department of Respiratory Medicine, Dongzhimen Hospital of Beijing University of Chinese Medicine, Beijing 100700, China.",2016; 2016(?):6134593,10.1155/2016/6134593,NULL
25425763,20140901,article,NULL,NULL,NULL,NULL,NULL,NULL,Enhancement of Neuromuscular Activity by Natural Specimens and Cultured Mycelia of Cordyceps sinensis in Mice,"The present study was aimed to evaluate the effect of natural specimen and laboratory cultured mycelia of Cordyceps sinensis on neuromuscular activity in mice. The powder of natural specimen and laboratory cultured Cordyceps sinensis was orally administered at the dose rate of 100, 300 and 500 mg/kg for 30 days. Natural specimen and in vitro propagated Cordyceps sinensis showed significant (P<0.05) enhancement in neuromuscular endurance and antidepressant activity at 300 and 500 mg/kg as compared to the con",Indian journal of pharmaceutical sciences,"K P Singh, H S Meena, P S Negi","Defence Institute of Bio-Energy Research (DIBER), DRDO, Field Station, Pithoragarh-262 501, India.",2014 Sep; 76(5):458-61,NULL,NULL
32720528,20200801,article,NULL,NULL,NULL,NULL,NULL,NULL,Extracellular polysaccharide biosynthesis in Cordyceps,"Cordyceps is a parasitic edible fungus with a variety of metabolically active ingredients. The main active ingredient, extracellular polysaccharide (EPS), shows favourable application prospects in prevention and treatment of certain diseases. EPS extracted from different parts of various Cordyceps species can be used in health foods or medicinal preparations because of the structural diversity and multiple bioactivities. In terms of the complexity of composition and structure, researchers have speculated on",Critical reviews in microbiology,"Shengli Yang, Xi Yang, Hui Zhang","College of Pharmaceutical Science, Zhejiang University of Technology, Hangzhou, China. School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, China.",2020 Aug; 46(4):359-380,10.1080/1040841x.2020.1794788,NULL
11114006,20001201,article,mesh,"Animals,Ascomycota,Cholesterol,Drugs, Chinese Herbal,Female,Hydroxyl Radical,Hypocreales,Lipid Peroxides,Lipoproteins, LDL,Macrophages, Peritoneal,Malondialdehyde,Medicine, Chinese Traditional,Mice,Superoxide Dismutase,Thiobarbituric Acid Reactive Substances","analysis,chemistry,pharmacology","D001203 Q000737 NY,D002784 Q000032 NN,D004365 Q000494 NY,D006999 Q000737 NY,D008054 Q000032 NN,D008077 Q000737 NN,D008315 Q000032 NN,D013482 Q000737 NN,D017392 Q000737 NN,D017665 Q000737 NN,D017737 Q000737 NN","5997,10964,157350,5283629",NULL,Antioxidant activity of the extracts from fruiting bodies of cultured Cordyceps sinensis,"Cordyceps sinensis is one of the most valued herbs in traditional Chinese medicine. We investigated the antioxidant activities of the cultured fruiting bodies of Cordyceps sinesis. The water and ethanol extracts of Cordyceps sinensis were found to possess a potent antioxidant activity. The scavenging effects of the extracts on superoxide were very weak, but the extracts moderately inhibited malondialdehyde formation via hydroxyl radical induced by SIN-1, a peroxynitrite generator. Of the extracts examined, ",Phytotherapy research : PTR,"Y Yamaguchi, S Kagota, K Nakamura, K Shinozuka, M Kunitomo","Department of Pharmacology, Faculty of Pharmaceutical Sciences, Mukogawa Women's University, Nishinomiya 663-8179, Japan.",2000 Dec; 14(8):647-9,10.1002/1099-1573(200012)14:8<647::aid-ptr670>3.0.co;2-w,NULL
30123644,20170101,article,NULL,NULL,NULL,NULL,NULL,NULL,Potential molecular mechanisms for fruiting body formation of Cordyceps illustrated in the case of Cordyceps sinensis,"The fruiting body formation mechanisms of Cordyceps sinensis are still unclear. To explore the mechanisms, proteins potentially related to the fruiting body formation, proteins from fruiting bodies, and mycelia of Cordyceps species were assessed by using two-dimensional fluorescence difference gel electrophoresis, and the differential expression proteins were identified by matrix-assisted laser desorption/ionisation tandem time of flight mass spectrometry. The results showed that 198 differential expression",Mycology,"Kun Feng, Lan-Ying Wang, Dong-Jiang Liao, Xin-Peng Lu, De-Jun Hu, Xiao Liang, Jing Zhao, Zi-Yao Mo, Shao-Ping Li","State Key Laboratory of Quality Research in Chinese Medicine, University of Macau, Macao, China. Department of Chemistry and Pharmacy, Zhuhai College of Jilin University, Zhuhai, China. The State Key Laboratory of Respiratory Diseases, Guangzhou Medical University, Guangzhou, China. Bino Beijing Limited, Beijing, China.",2017; 8(4):231-258,10.1080/21501203.2017.1365314,NULL
1823719,19910101,article,mesh,"Ascomycota,Capsules,Chromatography, High Pressure Liquid,Drug Combinations,Drugs, Chinese Herbal,Ergosterol,Hypocreales,Lepidoptera","analysis,chemistry","D001203 Q000737 NY,D004365 Q000737 NY,D004875 Q000032 NY,D006999 Q000737 NY,D007915 Q000737 NY","444679,6436872",NULL,[Determination of ergosterol in Cordyceps sinensis and Cordyceps black-bone chicken capsules by HPLC],"A high performance liquid chromatographic method (HPLC) was developed for the determination of ergosterol in Cordyceps sinensis and Cordyceps black-bone chicken capsules. The sample was mixed with 0.5 ml of saturated KOH solution and 5 ml of ethanol, and refluxed for 1 h. The saponified mixture was diluted with 5 ml of 10% NACl solution and extracted 3 times with 5 ml portions of cyclohexane. The cyclohexane extracts were purified by partition column and concentrated by adsorption column and then analysed b",Yao xue xue bao = Acta pharmaceutica Sinica,"Y H Li, X L Li","School of Pharmacy, Second Military Medical University, Shanghai.",1991; 26(10):768-71,NULL,NULL
21246839,20101001,article,mesh,"Animals,Capsules,Cordyceps,Drugs, Chinese Herbal,Humans,Lung Diseases,Medicine, Chinese Traditional","drug therapy,pharmacology,therapeutic use","D004365 Q000494 NY,D004365 Q000627 NN,D008171 Q000188 NY",NULL,NULL,[Pharmacological effects of Bailing capsule and its application in lung disease research],"Cordyceps sinensis is a medicinal fungus of Traditional Chinese Medicine. There are a wide range of reported uses of Cordycep sinensis in the literature. However, the production of Cordyceps sinensis is so limited that can not be widely used. Cultured Cordyceps sinensis (Bailing Capsule) and natural Cordyceps sinensis have similar chemical composition. Bailing Capsule possesses anti-inflammatory, anti-hypoxia, anti-tumor effect function and regulating the endocrine system, enhanced immune function, which ha",Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,"Huijuan Xu, Shiyue Li","The Second Affiliated Hospital of Shantou University Medical College, Shangtou, Guangdong 515041, China.",2010 Oct; 35(20):2777-81,NULL,NULL
21731381,20110101,article,xref,NULL,NULL,NULL,"612,702,5793,136460","127822818,128334455,128482492,129621433,136137642",Traditional uses and medicinal potential of Cordyceps sinensis of Sikkim,"Cordyceps sinensis has been described as a medicine in old Chinese medical books and Tibetan medicine. It is a rare combination of a caterpillar and a fungus and found at altitudes above 4500m in Sikkim. Traditional healers and local people of North Sikkim recommend the mushroom, i.e., Yarsa gumba, Keera jhar (C. sinensis) for all diseases either as a single drug or combined with other herbs. The present study was undertaken to collect information regarding the traditional uses of cordyceps in Sikkim. It wa",Journal of Ayurveda and integrative medicine,"Ashok Kumar Panda, Kailash Chandra Swain","Ayurveda Regional Research Institute, Gangtok, Sikkim, India.",2011 Jan; 2(1):9-13,10.4103/0975-9476.78183,NULL
28250651,20170101,article,NULL,NULL,NULL,NULL,NULL,NULL,Analysis of Soluble Proteins in Natural Cordyceps sinensis from Different Producing Areas by Sodium Dodecyl Sulfate-Polyacrylamide Gel Electrophoresis and Two-dimensional Electrophoresis,"BACKGROUND: As one of the bioactive components in Cordyceps sinensis (CS), proteins were rarely used as index components to study the correlation between the protein components and producing areas of natural CS. OBJECTIVE: Protein components of 26 natural CS samples produced in Qinghai, Tibet, and Sichuan provinces were analyzed and compared to investigate the relationship among 26 different producing areas. MATERIALS AND METHODS: Proteins from 26 different producing areas were extracted by Tris-HCl buffer ",Pharmacognosy research,"Chun-Hong Li, Hua-Li Zuo, Qian Zhang, Feng-Qin Wang, Yuan-Jia Hu, Zheng-Ming Qian, Wen-Jia Li, Zhi-Ning Xia, Feng-Qing Yang","Department of Pharmaceutical Engineering, School of Chemistry and Chemical Engineering, Chongqing University, Chongqing 401331, China. State Key Laboratory of Quality Research in Chinese Medicine, Institute of Chinese Medical Sciences, University of Macau, Macao SAR, China. Sunshine lake Pharma Co., Ltd., Guangdong 523850, China.",2017 Jan; 9(1):34-38,10.4103/0974-8490.199782,NULL
25918546,20150101,article,NULL,NULL,NULL,NULL,NULL,NULL,"Antiproliferative and Apoptosis-Inducing Activities of 4-Isopropyl-2,6-bis(1-phenylethyl)phenol Isolated from Butanol Fraction of Cordyceps bassiana","The Cordyceps species have been widely used for treating various cancer diseases. Although the Cordyceps species have been widely known as an alternative anticancer remedy, which compounds are responsible for their anticancer activity is not fully understood. In this study, therefore, we examined the anticancer activity of 5 isolated compounds derived from the butanol fraction (Cb-BF) of Cordyceps bassiana. For this purpose, several cancer cell lines such as C6 glioma, MDA-MB-231, and A549 cells were employ",Evidence-based complementary and alternative medicine : eCAM,"Ji Hye Kim, Yunmi Lee, Gi-Ho Sung, Han Gyung Kim, Deok Jeong, Jae Gwang Park, Kwang-Soo Baek, Nak Yoon Sung, Sungjae Yang, Deok Hyo Yoon, Sang Yeol Lee, Hyojeung Kang, Changsik Song, Jae Han Cho, Kang-Hyo Lee, Tae Woong Kim, Jae Youl Cho","Department of Genetic Engineering, Sungkyunkwan University, Suwon 440-746, Republic of Korea. Department of Chemistry, Kwangwoon University, Seoul 139-701, Republic of Korea. Institute for Bio-Medical Convergence, International St. Mary's Hospital and College of Medicine, Catholic Kwandong University, Incheon 404-834, Republic of Korea. Department of Biochemistry, Kangwon National University, Chuncheon 220-700, Republic of Korea. Department of Life Science, Gachon University, Seongnam, Kyeonggi-do 461-701, ",2015; 2015(?):739874,10.1155/2015/739874,NULL
30123650,20170101,review,NULL,NULL,NULL,NULL,NULL,NULL,Situation of type specimens of Cordyceps and allies described by Dr Kobayasi,"Information about authentic specimens of Cordyceps spp. that were described by Dr Kobayasi were summarised. Dr Kobayasi, National Museum of Nature and Science, has described/proposed about 28% of the scientific names for the major two genera of entomopathogenic fungi (Cordyceps s. l. and Torrubiella s. l.) with Mr Shimizu before 2007. In total 44 authentic specimens were discovered at present: 19 in Torrubiella, 6 in Cordyceps spp. on Elaphomyces, 19 in Cordyceps spp. on cicada. Although the colour iconogra",Mycology,Hiroki Sato,"Forest Entomology, Forestry and Forest Products Research Institute, Tsukuba, Japan.",2017; 8(4):303-307,10.1080/21501203.2017.1394392,NULL
30648190,20190201,review,mesh,"Antifungal Agents,Antineoplastic Agents,Biosynthetic Pathways,Cordyceps,Cosmeceuticals,Deoxyadenosines,Fermentation,Industrial Microbiology,Mutagens","genetics,growth & development,metabolism,methods","D000068937 Q000378 NY,D000935 Q000378 NY,D000970 Q000378 NY,D003839 Q000378 NY,D007218 Q000379 NN,D009153 Q000378 NN,D032661 Q000254 NN,D032661 Q000378 NY,D053898 Q000235 NN",6303,NULL,Enrichment of cordycepin for cosmeceutical applications: culture systems and strategies,"Cordyceps spp. is the herbal medication initially used in China and has been reported as the unique resource of cordycepin. Cordycepin exhibits many health benefits, including anti-photoaging and anti-pigmentation; therefore, it potentially is a bioactive ingredient of cosmetic products. In order to enrich cordycepin content in Cordyceps, two artificial cultivation procedures, which are solid-state fermentation and liquid culture, were developed and optimized. The aim of this review is to illustrate cordyce",Applied microbiology and biotechnology,"Phongsakorn Kunhorm, Nipha Chaicharoenaudomrung, Parinya Noisa","Laboratory of Cell-Based Assays and Innovations, School of Biotechnology, Institute of Agricultural Technology, Suranaree University of Technology, 111 University Avenue, Nakhon Ratchasima, 30000, Thailand. Laboratory of Cell-Based Assays and Innovations, School of Biotechnology, Institute of Agricultural Technology, Suranaree University of Technology, 111 University Avenue, Nakhon Ratchasima, 30000, Thailand. p.noisa@sut.ac.th.",2019 Feb; 103(4):1681-1691,10.1007/s00253-019-09623-3,NULL
17253264,19980601,article,NULL,NULL,NULL,NULL,NULL,NULL,Differentiation of genuines and counterfeits of Cordyceps species using random amplified polymorphic DNA,"For identification of genuine and counterfeit samples of Cordyceps sinensis, an RAPD (random amplified polymorphic DNA) analysis was performed. In the study, twelve samples were collected, of which six were genuine and six were counterfeit samples. Genuine samples of Cordyceps sinensis contain two parasitic larvae produced from each of the three provinces, Sichuan (SC), Chinghai (CH), and Tibet (TB). The counterfeits contain two products of each of the three species, Cordyceps hawkesii, Stachys geobombycis,",Planta medica,"K T Cheng, C H Su, H C Chang, J Y Huang","Graduate Institute of Pharmacognosy Science, Taipei Medical College, Taipei, Taiwan, ROC. ktbot@mail.tmc.edu.tw",1998 Jun; 64(5):451-3,10.1055/s-2006-957479,NULL
26451152,20150101,article,NULL,NULL,NULL,NULL,NULL,NULL,Evaluation of an Epitypified Ophiocordyceps formosana (Cordyceps s.l.) for Its Pharmacological Potential,"The substantial merit of Cordyceps s.l. spp. in terms of medicinal benefits is largely appreciated. Nevertheless, only few studies have characterized and examined the clinical complications of the use of health tonics containing these species. Here, we epitypified C. formosana isolates that were collected and characterized as Ophiocordyceps formosana based on morphological characteristics, molecular phylogenetic analyses, and metabolite profiling. Thus, we renamed and transferred C. formosana to the new pro",Evidence-based complementary and alternative medicine : eCAM,"Yen-Wen Wang, Tzu-Wen Hong, Yu-Ling Tai, Ying-Jing Wang, Sheng-Hong Tsai, Pham Thi Kim Lien, Tzu-Ho Chou, Jui-Ya Lai, Richard Chu, Shih-Torng Ding, Kenji Irie, Tsai-Kun Li, Shean-Shong Tzean, Tang-Long Shen","Department of Plant Pathology and Microbiology, National Taiwan University, Taipei 10617, Taiwan. Mucho Biotechnology Inc., Taipei 10684, Taiwan. Graduate School of Comprehensive Human Sciences, University of Tsukuba, 1-1-1 Tennodai, Tsukuba 305-8575, Japan. Department of Animal Science and Technology, National Taiwan University, Taipei 10672, Taiwan ; Center for Biotechnology, National Taiwan University, Taipei 10617, Taiwan. Graduate School of Comprehensive Human Sciences, University of Tsukuba, 1-1-1 Ten",2015; 2015(?):189891,10.1155/2015/189891,NULL
16233320,20020101,article,xref,NULL,NULL,NULL,"6303,60961","128800334,128814610",Measurement of cordycepin and adenosine in stroma of Cordyceps sp. by capillary zone electrophoresis (CZE),"Capillary zone electrophoresis (CZE) was used to separate cordycepin and adenosine, and determine their concentration in stroma of Cordyceps sp. These two active components of natural and cultured Cordyceps kyushuensis were quantitatively analyzed and compared with those of cultured Cordyceps militaris. The results showed that the CZE method is a simple, rapid and sensitive method for the measurement of cordycepin and adenosine with good repeatability.",Journal of bioscience and bioengineering,"Jian-Ya Ling, Ying-Jie Sun, Hua Zhang, Peng Lv, Chang-Kai Zhang","State Key Laboratory of Microbial Technology, Life Science College of Shandong University, Jinan, Shandong Province, 250100, PR China.",2002; 94(4):371-4,10.1263/jbb.94.371,NULL
32207149,20200601,article,NULL,NULL,NULL,NULL,NULL,NULL,Biotransformation of ginsenoside Rb1 with wild Cordyceps sinensis and Ascomycota sp. and its antihyperlipidemic effects on the diet-induced cholesterol of zebrafish,"Biotransformation major ginsenoside into minor ginsenoside via microbial fermentation has been proposed as a viable option to produce minor ginsenoside, because of its biological activity superior to major ginsenoside. Cordyceps sinensis contains a complex enzymatic system and many ingredients with medicinal value that could be useful tools for biotransformation applications in the ginseng industry. Wild C. sinensis and Ascomycota sp. were collected from Changbai Mountain and identified. Analysis by UPLC-MS",Journal of food biochemistry,"Fei Li, Zhaoxia Wu, Xin Sui","Department of Food Science, Shenyang Agricultural University, Shenyang, China. Department of Biological and Food Engineering, Jilin Institute of Chemical Technology, Jilin, China.",2020 Jun; 44(6):e13192,10.1111/jfbc.13192,NULL
7950209,19940501,article,"xref,mesh","Acetylglucosaminidase,Aged,Amikacin,Animals,Bronchitis,Drugs, Chinese Herbal,Female,Humans,Hypocreales,Kidney,Kidney Diseases,Male,Middle Aged,Moths,Pneumonia,beta 2-Microglobulin","adverse effects,chemically induced,drug effects,drug therapy,prevention & control,therapeutic use,urine","D000118 Q000652 NN,D000583 Q000009 NY,D001613 Q000652 NN,D001991 Q000188 NN,D001991 Q000652 NN,D004365 Q000627 NY,D007668 Q000187 NY,D007674 Q000139 NN,D007674 Q000517 NY,D011014 Q000188 NN,D011014 Q000652 NN","37768,38351,5458175,86619108","53787545,96099940",[Amelioration of aminoglycoside nephrotoxicity by Cordyceps sinensis in old patients],"The protective effect on aminoglycoside nephrotoxicity by Cordyceps sinensis in the old patient was observed. 21 old patients were randomly divided into two groups. Each group received amikacin sulfate for 6 days. In addition, group A was administered Cordyceps sinensis for 7 days and group B was given placebo. The results revealed that group A developed less prominent nephrotoxicity compared with group B as evidenced by less urinary nephro-aminoglycosidase (NAGase) and beta-microglobulin in group A than th",Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine,"Z D Bao, Z G Wu, F Zheng","Dept. of Geriatrics, Jinling Hospital, Nanjing.","1994 May; 14(5):271-3, 259",NULL,NULL
